,Momentum,Mom_Sharpe,Mom_Slope,StDev,ROE,E/P,Sales/Price,BV/Price,Size_Factor,Quality,Value,MomSharpe_Size_EP,Vol_Size_EP,Mom_Size,Mom_EP,Size_EP,Mom_Size_Std,Size_Std,Benchmark NIFTY50,Benchmark NiftyMid
start,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2012-01-01 00:00:00,2011-03-02 00:00:00,2011-03-02 00:00:00
end,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-10 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00
ytd,0.29295595040398714,0.3997397889513026,0.15855535369456852,0.0038106701512636842,0.32062777121422803,-0.07247967425886692,0.00848238477610952,-0.04124115538403528,1.017509569276564,0.2199850577464575,0.008426577990146455,0.3851024975002939,0.4889370298424385,0.3432275524710078,0.00933071193276458,0.36746758816048697,0.19717558691135229,0.10857696687990659,0.11038897920793134,0.19498303727940258
one_year,0.31650625790006837,0.4560217493248402,0.2213459160412341,0.05459848917903454,0.3723354713071336,-0.03337716582492323,0.042077773722192235,0.01397548618202471,1.1594018356118858,0.2551822107236541,0.042020107734999534,0.4581789040084838,0.6005716880943317,0.39396583030318477,0.05022435136672221,0.4565312980651919,0.2585146650119554,0.12691678296920017,0.1344313211495236,0.22850696219900413
three_year,0.12107695591946088,0.2115264974558546,0.18364769956656546,0.05791459110289199,0.08429449709584103,-0.1593068578374257,-0.14522754860899822,-0.039140276548320974,0.5835407334927556,0.008186492434856918,-0.15051544508530124,0.19627043846664294,0.31497021946622006,0.2861151163599276,-0.08209390827957186,0.18549540115637897,0.13092450104995468,0.07555661872937369,0.09377674236899347,0.005216564643440558
five_year,0.279352922203169,0.3271989482037325,0.2954766411869816,0.13193073014832124,0.13312952059015593,0.014712415107815735,0.023715146029724687,0.06045150056199611,0.6122893066398067,0.10614137036274851,0.019909362871380676,0.4057481370568743,0.4295199549149671,0.48101791958249707,0.12392387445792141,0.35019668700426343,0.25663332912484815,0.20037568365373026,0.12139083874940493,3.5051479741744442
ten_year,0.3627920279475332,0.45879307837928396,0.3956795811159328,0.14803895613678564,0.19118730175835053,0.011107543257676822,0.051043803059347415,0.14210483938224394,0.5926529162931109,0.1519436527601794,0.04886318721662697,0.5137607389811156,0.4615372467764016,0.5798530305824863,0.26310003405820215,0.3624645432586697,0.3241537019538969,0.2286294820370618,0.0953142512336913,0.13022629946650777
incep,0.3627920279475332,0.45879307837928396,0.3956795811159328,0.14803895613678564,0.19118730175835053,0.011107543257676822,0.051043803059347415,0.14210483938224394,0.5926529162931109,0.1519436527601794,0.04886318721662697,0.5137607389811156,0.4615372467764016,0.5798530305824863,0.26310003405820215,0.3624645432586697,0.3241537019538969,0.2286294820370618,0.0953142512336913,0.13022629946650777
daily_sharpe,1.4921603847207061,1.9797639329986148,1.6242002907732924,1.0920997295037989,1.205165228270875,0.16649510550638472,0.3384019812535629,0.7495992050262089,2.151205418684787,0.8796123046896527,0.3290543239350235,2.0334605950199904,1.6163343961473442,2.089609773951777,1.173290814620286,1.4583798531757326,1.931425635720574,1.4994487940648766,0.6240593436743512,0.3459350856034181
daily_sortino,2.3244663382787927,3.1911862341009725,2.63839239107398,1.6756859707031924,1.8593676070232843,0.2461399356971139,0.5192840516990807,1.1658132523890408,3.5357596105134914,1.3672115148847586,0.5048638661316666,3.2548548643386863,2.5324492412433135,3.2659453370520106,1.798791126257725,2.304277593427911,3.16094012090601,2.3791197099030854,0.9806047664808266,300.7887458892473
daily_mean,0.34427857151048646,0.40866002655004563,0.36757648378103525,0.1511695061909716,0.19218571077707444,0.03862180691102541,0.07757747178207738,0.15883206329202426,0.5052110552271095,0.1621539762322304,0.07548238434332613,0.44989964049130154,0.4240185621839104,0.49781453772684947,0.26533624203589945,0.34547300236985434,0.2999899131983921,0.22213451577474772,0.10928405258086228,110.20172779610294
daily_vol,0.2307249106971343,0.20641856321277452,0.2263122878804742,0.13842097210266344,0.15946835028821332,0.23196962333252702,0.22924650587062903,0.21188931662016752,0.23485021506499715,0.1843470985657051,0.22939186284095517,0.2212482708507458,0.2623334399085925,0.2382332548078605,0.2261470376564489,0.2368882164804737,0.15532045741252276,0.14814411579375125,0.17511804556505328,318.56187007998034
daily_skew,-1.1063086476978812,-0.7900494772132365,-0.5790931210702045,-1.53980864525237,-1.5722160030632673,-1.3806488745306627,-1.0441859883183886,-0.9579843572244605,-1.1070455985766066,-1.3262397424788974,-1.042191375628173,-1.0741195821213663,-1.1808288592378386,-1.354651366516551,-1.2414679657223011,-0.9973773058819294,-0.7957739397120429,-1.3364550805118753,-0.8150253260728503,45.89106972379202
daily_kurt,11.438274247485017,6.546435150612087,6.933135244861553,16.999825164267666,19.247861937105334,14.4382378512832,10.331944825231409,8.691867495440599,12.256777433443728,12.888777637511325,10.298503623632854,11.442518595894079,11.374669266644245,13.166250141092751,14.985577805155229,12.833879406491029,12.887854720872381,15.721305543682695,14.088747160382542,2105.9935207897133
best_day,0.10098787813237009,0.06519382906094373,0.10714256744352779,0.04390850686012393,0.0655452336019815,0.09648584515000191,0.08051448635771719,0.06800838727861036,0.06344226506756834,0.05703898477352798,0.08051448587348564,0.0971175217789364,0.11233140098641847,0.09764957860554047,0.10615902214622985,0.1051593763244889,0.0854965219812438,0.04582050366867052,0.08742278485433275,920.9210139080011
worst_day,-0.14328137721033374,-0.11026643870491759,-0.11111545875068218,-0.09456536612752486,-0.13323421837292715,-0.13798786958477915,-0.13567899983550835,-0.13386632753608618,-0.16499074969371297,-0.1281569408505835,-0.13567899908030978,-0.14744689296645852,-0.16179030959361385,-0.16050455186248413,-0.15782789877078718,-0.1588775334717295,-0.10170730520836624,-0.11514105638770344,-0.12951801247809258,-0.9985327350338137
monthly_sharpe,1.5020578387014665,1.9200782760971509,1.5620003332124601,0.8153869990455875,0.9880653606137183,0.14884128881189532,0.2982861063225159,0.6109659071422822,1.711183466962777,0.6881234492675877,0.2901497290563599,1.6763218310846257,1.4021534027344036,1.8605938954416392,1.0078888829919828,1.2441202917720044,1.5992704509318114,1.165135049898468,0.5821399411649716,0.5460454443043251
monthly_sortino,3.003224550958463,4.2321448753818425,3.2728425403401857,1.2049129058130328,1.6590533090887407,0.25351106250328553,0.4970225574567886,1.1359131969865355,4.176331563177157,1.1583444880331575,0.4837322818612755,3.755186553306264,2.995573743837835,3.946401542627563,1.9342651162541866,2.497821817182031,3.2093336140376354,2.231829533964529,0.9937856528776992,0.8996218039345908
