Date,Plot_Momentum,Plot_Mom_Sharpe,Plot_Mom_Slope,Plot_StDev,Plot_ROE,Plot_E/P,Plot_Sales/Price,Plot_BV/Price,Plot_Size_Factor,Plot_Quality,Plot_Value,Plot_MomSharpe_Size_EP,Plot_Vol_Size_EP,Plot_Mom_Size,Plot_Mom_EP,Plot_Size_EP,Plot_Mom_Size_Std,Plot_Size_Std
2020-01-28,13.092934661776352,22.941339975010166,17.770079636681917,3.620380072970363,3.877456448844669,1.2114048166887394,1.6051351858976308,3.5354312663415888,36.32919413646704,3.130094720408935,1.5756885003533467,30.634889510692307,21.273740294558174,49.167780131862415,8.232840318531922,12.256270707747555,11.10293316338266,6.136797952025277
2020-01-29,13.123090119856338,23.012983096600763,17.845344852224663,3.614735177873233,3.9024112882738167,1.205374222765048,1.606896765939049,3.5764830541430186,37.37268850007109,3.1020996833259735,1.5774177636815083,31.03269663768354,21.187676379686955,49.89093479280464,8.329477523294514,12.084287525620269,11.10004357506029,6.086914337903032
2020-01-30,13.002121918192193,22.89965582011261,17.69448696608372,3.609538862996985,3.8423955447976295,1.178377294305998,1.5876449363336134,3.5107961835161383,37.03308844923524,3.0647567055335463,1.5585191146539605,30.437447536369234,20.613489050794254,49.540972568173224,8.211376813476654,11.830912235341449,11.029798720967515,6.029278501390136
2020-01-31,12.815794160519614,22.569721349897435,17.275452593945612,3.6010860361000985,3.8225707193771283,1.1538003485620345,1.5282048662460903,3.3679224301610473,36.0694922897957,3.0639472142568334,1.5001694904478655,29.828065077038335,20.06742408100243,48.83163147470975,7.993374752260449,11.714044040196319,10.897403305350094,6.01896227346167
2020-02-03,12.335921865170521,21.749865036930117,16.358897606148695,3.586914287027183,3.787517439141538,1.0880370489079825,1.437115883554966,3.2320577221035065,35.61085617752088,3.0119123044630745,1.4107515624152025,28.257281040627678,18.892333264037408,46.45796322095503,7.545225952487745,11.279403492331992,10.799983843897351,6.034702319638798
2020-02-04,12.498777483392912,21.772784763492247,16.5965694857573,3.597266064040948,3.810954457836559,1.1244277251150607,1.4682733327573814,3.29598041005784,35.714809166533726,3.0474974843964557,1.441337418883818,28.53055323364423,19.59182923161298,46.9498018414101,7.619115861108448,11.572348967191738,10.853235890451867,6.040842514222335
2020-02-05,12.626913299936735,22.015149631560277,16.561099811741265,3.62803812074187,3.786891941832976,1.1432912453528923,1.4795118388188035,3.3163560534578957,35.888647199762154,3.052961193539426,1.452369751186864,28.862518091465407,19.967027007155515,47.20092119632263,7.696613850945275,11.759983032891721,10.980623689711516,6.079738923891322
2020-02-06,12.866140901987807,22.42897647976707,16.923244919758776,3.6418666999827742,3.8412480353197287,1.1620825244437145,1.4937122497929642,3.3709098434251747,35.777396058549726,3.085599860547366,1.4663096513702643,29.394576461811855,20.186914772415044,48.05768782640734,7.8422236957149,11.890002583101507,11.153031734053135,6.047712827992268
2020-02-07,12.797178922337878,22.44021484955908,16.89587141376365,3.6747459578319086,3.877134552439286,1.1864134809225164,1.5160256884804577,3.3844671080279207,36.02889300754157,3.0624658159347367,1.488213743344649,29.348477196166456,20.70379979546273,47.97240632696101,7.820547762439431,11.953060973979843,11.093052150129768,6.058279333006632
2020-02-10,12.648402470632229,22.39598548514964,16.61347844163864,3.680739679735952,3.869295923937821,1.182067614162746,1.488143611106276,3.2822637318698122,36.01461379136349,3.0563335022369764,1.4608431710274694,28.769526316225082,20.38590317296426,47.758325100855124,7.675617043530029,11.776104463241603,11.129328201862867,6.08029440720212
2020-02-11,12.557268257926252,22.24124610769558,16.39797212452538,3.6850205131534004,3.832834794174863,1.1674457543625536,1.4828390194718415,3.273789917241915,36.30788819031745,3.0437056045752438,1.4556358937147023,28.600716091899592,20.459330101354603,47.33499695485045,7.6142429333828,11.854121139309843,11.00677436526651,6.038238966071988
2020-02-12,12.821577799611033,22.407992558560895,16.585771542908837,3.688400011769111,3.8169911210492415,1.1440394041569988,1.4705248071260268,3.2393722665483926,35.882450932985165,3.0421369142446495,1.443547589281105,28.94563061489984,20.145462606294984,47.48454692178634,7.73085792163535,11.77397869295085,11.062191092976834,5.996911955377026
2020-02-13,12.662973302712418,22.520407695600646,16.404211133648275,3.6580468378352453,3.8756412333792927,1.1403303843942243,1.471455369202082,3.247839249776159,35.687153529886224,3.034573981027247,1.4444610799172752,28.69586344208407,20.03488535174783,47.12983937579823,7.700157097407166,11.755909158561135,11.16453947812362,5.937950603032867
2020-02-14,12.721318807218617,22.65424267904347,16.292271295641118,3.6596020589389058,3.8803930641770346,1.1160711871388809,1.4429973801075886,3.189191709504211,35.691754160853684,3.0040263377979874,1.4165251611527145,28.590337857421545,19.99981723496451,47.165425814732956,7.625477675863651,11.711640388359294,11.19368937171417,5.9167104030758315
2020-02-17,12.531439903528447,22.093028586026033,15.997849334652708,3.6422175203710285,3.8076808228924115,1.0807965064069411,1.4065709422023354,3.1210482680530065,35.910831191108166,2.9322737684355715,1.3807669771564892,28.539459809465534,19.666719390183847,46.216728460887985,7.547148551790047,11.689016759213322,10.956620929980993,5.819111782042858
2020-02-18,12.618189760750896,22.118060173707,15.933028211324585,3.627794864476047,3.801314195947804,1.068189400384408,1.3969383863966285,3.1418330997440087,36.90487119419816,2.916955174089956,1.3713111334709143,28.33076410654338,19.825485822673503,46.31710318167978,7.482059418547713,11.770733381550496,10.949968665511696,5.80128153038453
2020-02-19,12.868762644045885,22.537659163219264,16.165338774782004,3.656005371856487,3.8073279766666803,1.0921612972851673,1.4253628674717205,3.2175038112460825,37.310221155059025,2.9441555528418606,1.3992141589307212,28.969742183309556,20.578028495651445,47.30626544971705,7.6641737079120045,11.965462515540334,10.967395204377372,5.828350061175241
2020-02-20,13.071563773444174,22.58060350787094,16.251956635919765,3.659000149243512,3.882185858873015,1.0870915969780501,1.4268455327980962,3.2323654300057414,38.16671218843812,2.9376353167771394,1.4006696243177919,28.899970961394352,20.672624944748087,47.63434382132652,7.679121532846151,11.937629761297444,10.988215950499322,5.914636137439929
2020-02-24,12.642871774348476,22.031436750756836,15.70620652155112,3.6291093214078765,3.7829343795125707,1.050863315671296,1.3824229637332779,3.137515342387038,37.75357933318564,2.8716885568391124,1.3570620005820733,28.42012848261173,19.978554958506475,46.663637555724605,7.515181550486211,11.792649731506769,10.841935250994727,5.858683426571664
